V(Gate)(Volts)      I(Drain)(Amps/um)   
  0.000000E+00        0.000000E+00
  0.000000E+00        5.585190E-10
  0.000000E+00        3.716951E-10
  2.000000E-02        8.940079E-10
  4.000000E-02        1.499874E-09
  6.000000E-02        2.637599E-09
  8.000000E-02        4.867657E-09
  1.000000E-01        9.423268E-09
  1.200000E-01        1.904415E-08
  1.400000E-01        3.976505E-08
  1.600000E-01        8.453221E-08
  1.800000E-01        1.799238E-07
  2.000000E-01        3.772201E-07
  2.200000E-01        7.676472E-07
  2.400000E-01        1.497848E-06
  2.600000E-01        2.776344E-06
  2.800000E-01        4.858852E-06
  3.000000E-01        8.008396E-06
  3.200000E-01        1.243732E-05
  3.400000E-01        1.825155E-05
  3.600000E-01        2.542229E-05
  3.800000E-01        3.378177E-05
  4.000000E-01        4.308011E-05
  4.200000E-01        5.297226E-05
  4.400000E-01        6.320507E-05
  4.600000E-01        7.346331E-05
  4.800000E-01        8.353055E-05
  5.000000E-01        9.333016E-05
  5.200000E-01        1.025742E-04
  5.400000E-01        1.113348E-04
  5.600000E-01        1.195146E-04
  5.800000E-01        1.272476E-04
  6.000000E-01        1.344852E-04
  6.200000E-01        1.411699E-04
  6.400000E-01        1.473830E-04
  6.600000E-01        1.532347E-04
  6.800000E-01        1.587189E-04
  7.000000E-01        1.638057E-04
  7.200000E-01        1.685858E-04
  7.400000E-01        1.730883E-04
  7.600000E-01        1.773275E-04
  7.800000E-01        1.813225E-04
  8.000000E-01        1.850964E-04
  8.200000E-01        1.886748E-04
  8.400000E-01        1.920729E-04
  8.600000E-01        1.952623E-04
