V(Gate)(Volts)      I(Drain)(Amps/um)   
  0.000000E+00        0.000000E+00
  0.000000E+00        7.158264E-09
  0.000000E+00        9.896538E-08
  0.000000E+00        1.831050E-09
  0.000000E+00        9.046562E-10
  0.000000E+00        5.824131E-10
  0.000000E+00        3.881673E-10
  2.000000E-02        2.100344E-07
  4.000000E-02        4.537559E-07
  6.000000E-02        9.708443E-07
  8.000000E-02        2.011833E-06
  1.000000E-01        3.973590E-06
  1.200000E-01        7.407568E-06
  1.400000E-01        1.297995E-05
  1.600000E-01        2.138829E-05
  1.800000E-01        3.326133E-05
  2.000000E-01        4.906985E-05
  2.200000E-01        6.902681E-05
  2.400000E-01        9.305755E-05
  2.600000E-01        1.209232E-04
  2.800000E-01        1.521992E-04
  3.000000E-01        1.863876E-04
  3.200000E-01        2.228273E-04
  3.400000E-01        2.601327E-04
  3.600000E-01        2.988586E-04
  3.800000E-01        3.383493E-04
  4.000000E-01        3.777675E-04
  4.200000E-01        4.158780E-04
  4.400000E-01        4.540048E-04
  4.600000E-01        4.928372E-04
  4.800000E-01        5.322865E-04
  5.000000E-01        5.722656E-04
  5.200000E-01        6.126947E-04
  5.400000E-01        6.532900E-04
  5.600000E-01        6.941794E-04
  5.800000E-01        7.353150E-04
  6.000000E-01        7.766356E-04
  6.200000E-01        8.180732E-04
  6.400000E-01        8.595556E-04
  6.600000E-01        9.010191E-04
  6.800000E-01        9.424002E-04
  7.000000E-01        9.836433E-04
  7.200000E-01        1.024683E-03
  7.400000E-01        1.065461E-03
  7.600000E-01        1.105918E-03
  7.800000E-01        1.145986E-03
  8.000000E-01        1.185612E-03
  8.200000E-01        1.224746E-03
  8.400000E-01        1.263356E-03
  8.600000E-01        1.301396E-03
