/ Y (microns)         BORON    Material
     0.00000    1.42597e+19    silicon     
     0.00000    1.42597e+19    silicon     
     0.00500    1.29038e+19    silicon     
     0.00500    1.29038e+19    silicon     
     0.01000    1.15170e+19    silicon     
     0.01000    1.15170e+19    silicon     
     0.01502    1.04530e+19    silicon     
     0.01502    1.04530e+19    silicon     
     0.01920    9.88384e+18    silicon     
     0.01920    9.88384e+18    silicon     
     0.02268    9.54714e+18    silicon     
     0.02413    9.44818e+18    silicon     
     0.02558    9.34922e+18    silicon     
     0.02679    9.27132e+18    silicon     
     0.02799    9.19342e+18    silicon     
     0.02900    9.12411e+18    silicon     
     0.03000    9.05480e+18    silicon     
     0.03098    8.97866e+18    silicon     
     0.03197    8.90252e+18    silicon     
     0.03284    8.82560e+18    silicon     
     0.03372    8.74868e+18    silicon     
     0.03450    8.67198e+18    silicon     
     0.03528    8.59528e+18    silicon     
     0.03598    8.52017e+18    silicon     
     0.03667    8.44505e+18    silicon     
     0.03729    8.37274e+18    silicon     
     0.03791    8.30043e+18    silicon     
     0.03846    8.23184e+18    silicon     
     0.03902    8.16325e+18    silicon     
     0.03951    8.09897e+18    silicon     
     0.04000    8.03469e+18    silicon     
