

 One-dimensional plot values
 Input line #      35
  X (Microns)   Y (Microns)  X (Microns)        Concentration (cm^-3)         
      0.04000       0.01000       0.04000        9.998912E+19
      0.04091       0.01023       0.04091        9.966837E+19
      0.04100       0.01025       0.04100        9.963628E+19
      0.04182       0.01045       0.04182        9.934733E+19
      0.04200       0.01050       0.04200        9.928311E+19
      0.04273       0.01068       0.04273        9.902616E+19
      0.04300       0.01075       0.04300        9.892981E+19
      0.04364       0.01091       0.04364        9.870496E+19
      0.04400       0.01100       0.04400        9.857646E+19
      0.04455       0.01114       0.04455        9.838371E+19
      0.04500       0.01125       0.04500        9.822309E+19
      0.04545       0.01136       0.04545        9.806246E+19
      0.04600       0.01150       0.04600        9.786969E+19
      0.04636       0.01159       0.04636        9.774120E+19
      0.04700       0.01175       0.04700        9.751632E+19
      0.04727       0.01182       0.04727        9.741995E+19
      0.04800       0.01200       0.04800        9.716294E+19
      0.04818       0.01205       0.04818        9.709869E+19
      0.04900       0.01225       0.04900        9.680955E+19
      0.04909       0.01227       0.04909        9.677743E+19
      0.05000       0.01250       0.05000        9.645617E+19
      0.05091       0.01273       0.05091        9.555893E+19
      0.05100       0.01275       0.05100        9.546919E+19
      0.05182       0.01295       0.05182        9.466167E+19
      0.05200       0.01300       0.05200        9.448221E+19
      0.05273       0.01318       0.05273        9.376443E+19
      0.05300       0.01325       0.05300        9.349525E+19
      0.05364       0.01341       0.05364        9.286717E+19
      0.05400       0.01350       0.05400        9.250827E+19
      0.05455       0.01364       0.05455        9.196993E+19
      0.05500       0.01375       0.05500        9.152130E+19
      0.05545       0.01386       0.05545        9.107268E+19
      0.05600       0.01400       0.05600        9.053432E+19
      0.05636       0.01409       0.05636        9.017543E+19
      0.05700       0.01425       0.05700        8.954735E+19
      0.05727       0.01432       0.05727        8.927818E+19
      0.05800       0.01450       0.05800        8.856038E+19
      0.05818       0.01455       0.05818        8.838093E+19
      0.05900       0.01475       0.05900        8.757340E+19
      0.05909       0.01477       0.05909        8.748368E+19
      0.06000       0.01500       0.06000        8.658644E+19
      0.06091       0.01523       0.06091        8.529034E+19
      0.06100       0.01525       0.06100        8.516071E+19
      0.06182       0.01545       0.06182        8.399424E+19
      0.06200       0.01550       0.06200        8.373503E+19
      0.06273       0.01568       0.06273        8.269816E+19
      0.06300       0.01575       0.06300        8.230933E+19
      0.06364       0.01591       0.06364        8.140207E+19
      0.06400       0.01600       0.06400        8.088363E+19
      0.06455       0.01614       0.06455        8.010598E+19
      0.06500       0.01625       0.06500        7.945793E+19
      0.06545       0.01636       0.06545        7.880988E+19
      0.06600       0.01650       0.06600        7.803221E+19
      0.06636       0.01659       0.06636        7.751377E+19
      0.06700       0.01675       0.06700        7.660649E+19
