/ Y (microns)    PHOSPHORUS    Material
     0.00000    5.06105e+17    silicon     
     0.00500    1.29617e+18    silicon     
     0.01000    2.49725e+18    silicon     
     0.01502    3.90290e+18    silicon     
     0.01920    5.01855e+18    silicon     
     0.02268    5.80349e+18    silicon     
     0.02558    6.32011e+18    silicon     
     0.02799    6.64605e+18    silicon     
     0.03000    6.82144e+18    silicon     
     0.03098    6.88764e+18    silicon     
     0.03197    6.95384e+18    silicon     
     0.03284    6.98862e+18    silicon     
     0.03372    7.02341e+18    silicon     
     0.03450    7.03653e+18    silicon     
     0.03528    7.04964e+18    silicon     
     0.03598    7.04821e+18    silicon     
     0.03667    7.04678e+18    silicon     
     0.03729    7.03589e+18    silicon     
     0.03791    7.02500e+18    silicon     
     0.03846    7.00823e+18    silicon     
     0.03902    6.99146e+18    silicon     
     0.03951    6.97133e+18    silicon     
     0.04000    6.95119e+18    silicon     
