

 One-dimensional plot values
 Input line #      36
  X (Microns)   Y (Microns)  X (Microns)        Concentration (cm^-3)         
      0.04000       0.01000       0.04000       -6.990077E+19
      0.04091       0.01023       0.04091       -6.974179E+19
      0.04100       0.01025       0.04100       -6.972588E+19
      0.04182       0.01045       0.04182       -6.958083E+19
      0.04200       0.01050       0.04200       -6.954858E+19
      0.04273       0.01068       0.04273       -6.941875E+19
      0.04300       0.01075       0.04300       -6.937006E+19
      0.04364       0.01091       0.04364       -6.925606E+19
      0.04400       0.01100       0.04400       -6.919092E+19
      0.04455       0.01114       0.04455       -6.909305E+19
      0.04500       0.01125       0.04500       -6.901149E+19
      0.04545       0.01136       0.04545       -6.892987E+19
      0.04600       0.01150       0.04600       -6.883193E+19
      0.04636       0.01159       0.04636       -6.876662E+19
      0.04700       0.01175       0.04700       -6.865231E+19
      0.04727       0.01182       0.04727       -6.860331E+19
      0.04800       0.01200       0.04800       -6.847265E+19
      0.04818       0.01205       0.04818       -6.843999E+19
      0.04900       0.01225       0.04900       -6.829300E+19
      0.04909       0.01227       0.04909       -6.827667E+19
      0.05000       0.01250       0.05000       -6.811334E+19
      0.05091       0.01273       0.05091       -6.764807E+19
      0.05100       0.01275       0.05100       -6.760153E+19
      0.05182       0.01295       0.05182       -6.718279E+19
      0.05200       0.01300       0.05200       -6.708973E+19
      0.05273       0.01318       0.05273       -6.671752E+19
      0.05300       0.01325       0.05300       -6.657793E+19
      0.05364       0.01341       0.05364       -6.625224E+19
      0.05400       0.01350       0.05400       -6.606613E+19
      0.05455       0.01364       0.05455       -6.578697E+19
      0.05500       0.01375       0.05500       -6.555433E+19
      0.05545       0.01386       0.05545       -6.532170E+19
      0.05600       0.01400       0.05600       -6.504253E+19
      0.05636       0.01409       0.05636       -6.485642E+19
      0.05700       0.01425       0.05700       -6.453073E+19
      0.05727       0.01432       0.05727       -6.439115E+19
      0.05800       0.01450       0.05800       -6.401893E+19
      0.05818       0.01455       0.05818       -6.392588E+19
      0.05900       0.01475       0.05900       -6.350713E+19
      0.05909       0.01477       0.05909       -6.346060E+19
      0.06000       0.01500       0.06000       -6.299533E+19
      0.06091       0.01523       0.06091       -6.229615E+19
      0.06100       0.01525       0.06100       -6.222623E+19
      0.06182       0.01545       0.06182       -6.159698E+19
      0.06200       0.01550       0.06200       -6.145715E+19
      0.06273       0.01568       0.06273       -6.089780E+19
      0.06300       0.01575       0.06300       -6.068804E+19
      0.06364       0.01591       0.06364       -6.019860E+19
      0.06400       0.01600       0.06400       -5.991893E+19
      0.06455       0.01614       0.06455       -5.949937E+19
      0.06500       0.01625       0.06500       -5.914975E+19
      0.06545       0.01636       0.06545       -5.880006E+19
      0.06600       0.01650       0.06600       -5.838046E+19
      0.06636       0.01659       0.06636       -5.810062E+19
      0.06700       0.01675       0.06700       -5.761094E+19
      0.06727       0.01682       0.06727       -5.740091E+19
      0.06800       0.01700       0.06800       -5.684092E+19
      0.06818       0.01705       0.06818       -5.670071E+19
      0.06900       0.01725       0.06900       -5.606996E+19
      0.06909       0.01727       0.06909       -5.599966E+19
      0.07000       0.01750       0.07000       -5.529716E+19
      0.07091       0.01773       0.07091       -5.445261E+19
      0.07100       0.01775       0.07100       -5.436827E+19
      0.07182       0.01795       0.07182       -5.360301E+19
      0.07200       0.01800       0.07200       -5.343341E+19
      0.07273       0.01818       0.07273       -5.274518E+19
      0.07300       0.01825       0.07300       -5.248834E+19
      0.07364       0.01841       0.07364       -5.187434E+19
      0.07400       0.01850       0.07400       -5.152642E+19
      0.07455       0.01864       0.07455       -5.098374E+19
      0.07500       0.01875       0.07500       -5.053772E+19
      0.07545       0.01886       0.07545       -5.006415E+19
