/ Y (microns)         BORON    Material
     0.00000    3.08081e+16    silicon     
     0.00000    3.08086e+16    silicon     
     0.00500    1.45697e+17    silicon     
     0.00500    1.45698e+17    silicon     
     0.01000    5.02444e+17    silicon     
     0.01000    5.02447e+17    silicon     
     0.01502    1.20519e+18    silicon     
     0.01502    1.20519e+18    silicon     
     0.01920    2.00974e+18    silicon     
     0.01920    2.00975e+18    silicon     
     0.02268    2.73519e+18    silicon     
     0.02413    3.02885e+18    silicon     
     0.02558    3.32252e+18    silicon     
     0.02679    3.54347e+18    silicon     
     0.02799    3.76442e+18    silicon     
     0.02900    3.92476e+18    silicon     
     0.03000    4.08511e+18    silicon     
     0.03098    4.21756e+18    silicon     
     0.03197    4.35000e+18    silicon     
     0.03284    4.44576e+18    silicon     
     0.03372    4.54153e+18    silicon     
     0.03450    4.60867e+18    silicon     
     0.03528    4.67580e+18    silicon     
     0.03598    4.72122e+18    silicon     
     0.03667    4.76664e+18    silicon     
     0.03729    4.79591e+18    silicon     
     0.03791    4.82518e+18    silicon     
     0.03846    4.84267e+18    silicon     
     0.03902    4.86015e+18    silicon     
     0.03951    4.86917e+18    silicon     
     0.04000    4.87818e+18    silicon     
