/ Y (microns)    PHOSPHORUS    Material
     0.00000    1.44684e+19    silicon     
     0.00500    1.39925e+19    silicon     
     0.01000    1.26472e+19    silicon     
     0.01502    1.11776e+19    silicon     
     0.01920    1.01590e+19    silicon     
     0.02268    9.49567e+18    silicon     
     0.02558    9.05225e+18    silicon     
     0.02799    8.73850e+18    silicon     
     0.03000    8.45524e+18    silicon     
     0.03098    8.34977e+18    silicon     
     0.03197    8.24431e+18    silicon     
     0.03284    8.15338e+18    silicon     
     0.03372    8.06246e+18    silicon     
     0.03450    7.98229e+18    silicon     
     0.03528    7.90211e+18    silicon     
     0.03598    7.83047e+18    silicon     
     0.03667    7.75883e+18    silicon     
     0.03729    7.69435e+18    silicon     
     0.03791    7.62987e+18    silicon     
     0.03846    7.57165e+18    silicon     
     0.03902    7.51343e+18    silicon     
     0.03951    7.46080e+18    silicon     
     0.04000    7.40818e+18    silicon     
